title,description,price,area,address,province_city,district,direction,type,bedroom,toilet,floor,law,type_estate,width,image_links,geo_code
Bán nhà MT KINH DOANH mua bán NGAY CHỢ BÌNH CHÁNH - 5x16m2 - shr - 620tr,"NHÀ ĐẸP - MẶT TIỀN KINH DOANH NGAY CHỢ BÌNH CHÁNH  - 620tr 5x16m2

✅ Nhà đang cho thuê kinh doanh bán Hủ Tiếu 7,5tr 
Trường hợp mua nhà, giữ hợp đồng cho thuê tiếp tục, hoặc Giao nhà trong vòng 1 Tháng.
- Giá Cho thuê hiện tại 7,5tr/ tháng.
-Nhà 1 trệt 1 lầu 3 phòng ngủ , 2 nhà vệ sinh. Phòng khách để hàng buôn bán , nhà bếp riêng biệt 
- Bán kính 200m có đủ Chợ , Trường mẫu giáo cấp 1 , 2 , 3 . Bệnh viện Quốc tế Bình Chánh, uỷ ban nhà nước ...
- Sổ hồng riêng, hỗ trợ vay ngân hàng
-----Xem nhà gọi trực tiếp hoặc để lại số điện thoại tôi trao đổi chi tiết",0.62,80,"Đường Trịnh Như Khuê,  Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,,Mua Bán,3.0,3.0,1.0,Sổ hồng/ Sổ đỏ,Nhà Mặt Phố,5,https://alonhadat.com.vn//files/properties/2024/6/17/images/014644029-3254-ban-nha-mat-tien-ho-chi-minh-chinh-chu.jpg,"[10.6604339, 106.5633953]"
"nhà ngộp chỉ 2tỷ230, đường Nguyễn Kiệm, Phú Nhuận. 60m2 - 3 lầu. gần CoopMart, đường lớn","Ngày đăng: Hôm nay
đang cho thuê 18tr/tháng
nhà rộng rãi thông thoáng, mới xây dựng gần đây
khu an ninh
nhà đẹp, chuẩn thiết kế hiện đại
nền nhà tốt không lo trơn trượt
tiện ích đầy đủ, kinh doanh buôn bán vô cùng sầm uất",2.32,60,"Đường Nguyễn Kiệm,  Phường 9, Quận Phú Nhuận, Hồ Chí Minh",Hồ Chí Minh,Phú Nhuận,,Mua Bán,3.0,3.0,3.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,,https://alonhadat.com.vn//files/properties/2024/6/30/images/014712758-3334-ban-nha-trong-hem-quan-phu-nhuan.jpg,"[10.8032667, 106.6789874]"
GIẢM MẠNH 300TR chỉ còn 3tỷ2 cho căn Nguyễn Văn Đậu 63m2 2 lầu cho thuê 14TR/Tháng sổ hồng,"-Vị Trí: hẻm 1/ Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh
*Diện tích 63m2   4,2X15
-Giá 3 tỷ 2
*Nhà 1 trệt 2 Lầu 4 Phòng 3 Nhà vệ sinh
-Đường oto 6m thông thoáng
*Khu vực an ninh thuận tiện kinh doanh, cho thuê cực kì tốt
HIỆN ĐANG CÓ HỢP ĐỒNG THUÊ 14TR/THÁNG
-Nhà còn mới chốt ngay sẽ được thương lượng mạnh
*Liên hệ ngay để được tư vấn miễn phí",3.2,63,"Đường Nguyễn Văn Đậu,  Phường 6, Quận Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,,Mua Bán,4.0,4.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,"4,2",https://alonhadat.com.vn//files/properties/2024/6/30/images/014711656-0007-ban-nha-trong-hem-quan-binh-thanh-chinh-chu.jpg,"[10.8105219, 106.6904743]"
SIÊU PHẨM DÒNG TIỀN Tân Kỳ Tân Quý 48m2 1trệt 2lầu đang thuê 14Tr/Tháng,"-Vị Trí: hẻm1/ Đ. Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Hồ Chí Minh
*Diện tích 48m2   4,2X11,5
-Giá 2 tỷ 750
*Nhà 1 trệt 2 Lầu 4 Phòng 3 Nhà vệ sinh
-Đường oto 5m thông thoáng
*Khu vực an ninh thuận tiện kinh doanh, cho thuê cực kì tốt
HIỆN ĐANG CÓ HỢP ĐỒNG THUÊ 14TR/THÁNG
-Nhà còn mới chốt ngay sẽ được thương lượng mạnh
*Liên hệ ngay để được tư vấn miễn phí",2.75,48,"Đường Tân Kỳ Tân Quý,  Phường Tân Sơn Nhì, Quận Tân Phú, Hồ Chí Minh",Hồ Chí Minh,Tân Phú,,Mua Bán,4.0,4.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,"4,2",https://alonhadat.com.vn//files/properties/2024/6/30/images/014711557-3716-ban-nha-trong-hem-ho-chi-minh.jpg,"[10.8020099, 106.6325128]"
"nhà Nguyễn Văn Lượng - Gò Vấp, 65m2 giá mềm 2tỷ070. 1 trệt 2 lầu. nhà đẹp nhá tốt","gần lotte mart gò vấp
khu dân cư
an ninh tuyệt đối
cho thuê tốt: đang cho thuê 15tr/tháng
tiện ích xung quanh đa dạng
đường lớn thông thoáng, đường lớn 2 ô tô di chuyển được 
ngoài căn này ra bên em có những căn khác giá tốt, quận khác nhau
hỗ trợ tìm kiếm nhà quanh khu vực thành phố
liên hệ qua số điện thoại để được tư vấn kỹ hơn",2.37,65,"Đường Nguyễn Văn Lượng,  Phường 17, Quận Gò Vấp, Hồ Chí Minh",Hồ Chí Minh,Gò Vấp,,Mua Bán,3.0,3.0,3.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,,https://alonhadat.com.vn//files/properties/2024/6/30/images/014711517-2334-ban-nha-trong-hem-ho-chi-minh-chinh-chu.jpg,"[10.8385063, 106.6779522]"
"BÁN NHÀ DÂN MẶT TIỀN NHÀ NƯỚC CHỢ BÌNH CHÁNH  -CHO THUÊ 8TR1 THÁNG(BÁN TẬP HOÁ) - 98,4m2","CẦN BÁN GẮP CĂN NHÀ-PHÍA SAU CHỢ BÌNH CHÁNH QL1A-ĐƯỜNG -TRỊNH NHƯ KHUÊ Giá:790 triệu + bao sang tên. ( chỉ cần 300 triệu là có thể mua nhà - ngân hàng cho vay hơn 600tr! - Nhà hiện đang kinh doanh SAPA TỐT VÀ đủ loại mặt hàng cực kỳ tốt, có lượng khách mua bán-hàng hoá & dịch vụ lâu năm, - Đang cho thuê 8 triệu / tháng ( mặt tiền kinh doanh ) . - Nhà thiết kế: 3 phòng ngủ , 2 nhà vệ sinh. Phòng khách để buôn bán ,…. - Diện tích : 5 x 19,67 .(98,4m2)sổ hồ riêng 100% còn thương lượng tốt căn này- công chứng liền ( vay được ngân hàng ) - Bán kính 1km là: Trường cấp 1 , 2 , 3 và chợ, bách hoá xanh , bệnh viện , nhà thuốc An Khang , …v.v..v. - Chị đang cần tiền gấp trong tuần nên khách thiện chí sẽ thương lượng được giá tốt .
#Gọi em mr PHÚC!
 để xem nhà ( xin cám ơn ). Miễn tiếp cò lái tránh mất thời gian!!",0.79,98,"59 Đường Trịnh Như Khuê,  Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",Hồ Chí Minh,Bình Chánh,Đông Bắc,Mua Bán,3.0,3.0,1.0,Sổ hồng/ Sổ đỏ,Nhà Mặt Phố,5,https://alonhadat.com.vn//files/properties/2024/6/30/images/014143306-5831-ban-nha-mat-tien-huyen-binh-chanh.jpg,"[10.6604339, 106.5633953]"
💥💥 BÁN ĐẤT TẶNG NHÀ - DIỆN TÍCH KHỦNG.💥💥,"💥💥💥 BÁN ĐẤT TẶNG NHÀ DIỆN TÍCH KHỦNG 142m2. Đường THẾ LỮ - QUẬN SƠN TRÀ- GIÁ ĐẦU TƯ.💥💥💥
- Diện tích 142m2, ngang 5m. Đường 5m5.
- Xây dựng nhà cấp 3. Tặng miễn bàn.
- Vị trí vô cùng thuận tiện, sát Sông gần Biển. Song song Ngô Quyền. Đầu đường Khúc Hạo. 
- Cách Biển 3 phút xe máy. Gần trường học các cấp. Dân cư sầm uất.
- Thích hợp xây căn hộ , Khách Sạn. Vv
- Hiện chủ cần bán gấp.
- Giá đầu tư 5,9 tỷ. TL",5.9,142,"Đường Thế Lữ,  Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Đà Nẵng,Sơn Trà,,Mua Bán,3.0,3.0,1.0,,Nhà Mặt Phố,5,https://alonhadat.com.vn//files/properties/2024/6/30/images/014713169-3111-ban-nha-mat-tien-quan-son-tra-chinh-chu.jpg,"[16.0797779, 108.2328641]"
"Bán gấp nhà Nguyễn Văn Lượng, Phường 10, Gò Vấp. 61m2. 1 trệt 2 lầu. SHR. 3 tỷ 550.","Vì đi định cư nên cần bán gấp nhà Nguyễn Văn Lượng, Phường 10, Gò Vấp.
Diện tích 61m2. Ngang 4.15m.
Kết cấu nhà 1 trệt 2 lầu 4 phòng ngủ, 4 toilet.
Giá 3 tỷ 550 triệu. Bớt lộc cho khách hàng thiện chí.
Vị trí gần Lotte Mart Gò Vấp. 
Khu vực dân cư đông đúc. Thuận tiện kinh doanh mua bán.
Hợp đồng thuê 16 triệu/tháng.
Đường trước nhà ô tô di chuyển thoải mái.
Sổ hồng riêng. Sang tên ngay.
Ngân hàng hỗ trợ 50%.
Ngoài ra, phân khúc nhà tài chính 3-5 tỷ, giỏ hàng em đa dạng. Cô chú anh chị quan tâm liên hệ em Tiền ngay nhé.",3.55,61,"Đường Nguyễn Văn Lượng,  Phường 10, Quận Gò Vấp, Hồ Chí Minh",Hồ Chí Minh,Gò Vấp,,Mua Bán,4.0,4.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,,https://alonhadat.com.vn//files/properties/2024/6/24/images/014679797-0506-ban-nha-trong-hem-ho-chi-minh.jpg,"[10.8385273, 106.6742527]"
"Giảm sâu bán gấp nhà Nguyễn Gia Trí, P25, Bình Thạnh. 54m2. 1T2L. Cho thuê 27triệu/tháng","Giảm sâu 500triệu bán ngay nhà Nguyễn Gia Trí, P25, Bình Thạnh.
Diện tích 54m2. Ngang 4.15m.
Giá 3 tỷ 800 triệu.
Kết cấu 1 trệt 2 lầu, 4 phòng ngủ, 4 wc, sân thượng.
Khu kinh doanh buôn bán sầm uất. 
Hợp đồng thuê dài hạn 27triệu/tháng.
Đường trước nhà ô tô di chuyển thoải mái.
Sổ hồng riêng. Sang tên công chứng ngay.
Ngoài ra, giỏ hàng nhà tài chính 3-5 tỷ em có hơn 10 căn khu vực này. Cô chú anh chị quan tâm liên hệ em Tiền ngay nhé.",3.8,54,"Đường Nguyễn Gia Trí,  Phường 25, Quận Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,,Mua Bán,4.0,4.0,2.0,Sổ hồng/ Sổ đỏ,Nhà Trong Ngõ,,https://alonhadat.com.vn//files/properties/2024/5/22/images/014509878-1130-ban-nha-trong-hem-ho-chi-minh-chinh-chu.jpg,"[10.8022907, 106.7161761]"
"Nhà ngộp cần bán gấp Huỳnh Văn Bánh, P.14, Phú Nhuận, 1T2L, SHR, 67m2, chỉ 3ty2, SHR","Bán nhà đường Huỳnh Văn Bánh, P. 14, Phú Nhuận.
- DT: 67m². Ngang 4.5m dài 14.88m.
- Kết cấu: 1T 2L, 4PN, 4WC, lầu BTCT.
- Vị trí: Hẻm nhựa lớn sạch đẹp như mặt tiền, sát đường Trường Sa thông với Lê Văn Sỹ, Đặng Văn Ngữ,
- Pháp lý: Pháp lý rõ ràng, sổ nở hậu, công chứng ngay.
= Chủ kinh doanh thua lỗ cần bán gấp nhà đẹp còn mới,...
Nhanh tay liên hệ Huy để đc hỗ trợ đi xem nhà liền ạ.",3.2,67,"Đường Huỳnh Văn Bánh,  Phường 14, Quận Phú Nhuận, Hồ Chí Minh",Hồ Chí Minh,Phú Nhuận,,Mua Bán,4.0,4.0,2.0,,Nhà Mặt Phố,5,https://alonhadat.com.vn//files/properties/2024/5/26/images/014529963-0458-ban-nha-mat-tien-quan-phu-nhuan.jpg,"[10.7929503, 106.6800195]"
"chủ bán nhà 63m2 MT Nguyễn Văn Lạc, Bình Thạnh. Sổ sẵn. BCC","Chủ nhà đi Đức bán nhà Nguyễn Văn Lạc, Phường 21, Quận Bình Thạnh.
Diện tích 63m2. ngang 4.15m
Giá: 4 tỷ 250 triệu. Bao công chứng. Giảm 500 cho khách thiện chí.
Kết cấu 1 trệt 2 lầu, sân thượng, 4 phòng ngủ, 4 WC.
Đường nhựa, buôn bán kinh doanh sầm uất.
Phù hợp ở, cho thuê, kinh doanh buôn bán tại nhà.
Khu vực đông dân cư.
Sổ sẵn tại nhà.
Hỗ trợ ngân hàng 60%.
Liên hệ em Kim Tiền ngay em hỗ trợ nhanh nhất.",4.25,63,"Đường Nguyễn Văn Lạc,  Phường 21, Quận Bình Thạnh, Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,,Mua Bán,4.0,4.0,3.0,Sổ hồng/ Sổ đỏ,Nhà Mặt Phố,,https://alonhadat.com.vn//files/properties/2023/12/23/images/013858670-2926-ban-nha-mat-tien-quan-binh-thanh-chinh-chu.jpg,"[10.7944798, 106.709713]"
