title,address,price,description,type_estate,type,area,bedroom,toilet,law,direction,width,floor,image_links,geo_code,district,province_city
"Cho thuê Mặt Tiền 120B Nguyễn Phúc Nguyên, Q3- Kinh doanh tự do","Đ. Nguyễn Phúc Nguyên, P. 09, Q. 3, Tp. Hồ Chí Minh",27.01,"Cho thuê Mặt Tiền 120B Nguyễn Phúc Nguyên, Phường 9, Quận 3  DT: 4x16 1 trệt 3 lầu - 5 phòng  Có 5 máy lạnh. Nhà mới sữa. Sạch sẽ.  Nhà mới, có vỉa hè rộng, cho kinh doanh mọi ngành nghề  Giá 27tr/Tháng",Nhà Đất Thổ Cư,Cho Thuê,64,5.0,,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,,https://i.meeymedia.com/lmbn_v5BXb5S5fl83zHQyHQMb7RLXqxVSoIEzQHvNlc/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDMyZjdmYmVmZjY5ZWVjNmQwYWM3ZWY4MTQwOWY0NDI1LTI4ODQzNjc4NzQ5NDgyMTY3NjAuanBn.jpg,"[10.7806506, 106.6790594]",3,Hồ Chí Minh
Nhà cho thuê khu Hưng Phú,"Đ. Trần Văn Trà, P. Hưng Phú, Q. Cái Răng, Tp. Cần Thơ",3.5,"Nhà cho thuê khu Hưng Phú gần siêu thị GO khoảng 1km  Diện tích: 70m2  2 phòng ngủ, 1 toilet, 1 bếp ăn  Gần siêu thị, chợ, trường học  Có máy che, chỗ đậu xe, phơi đồ rộng rãi  Điện: 3,5k, nước: 10k   Giá: 3tr5/tháng, cọc 1 tháng, đóng tiền đầu tháng  Giờ giấc tự do  Bàn giao 2021  Khu dân cư Hưng Phú Cần Thơ  Chủ đầu tư:  CIC8",Nhà Đất Thổ Cư,Cho Thuê,70,2.0,1.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,,https://i.meeymedia.com/DJJ498X5Ish4GrXlsrcE3gYobbtabu6bb9k1QZ2Bs9w/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNGQzZWMyOTk1MmFhZjcyMzI4MjZmY2M2NjdiNGUzOThkLTI4ODQzNjY1Mjc5MzQwOTk3MzYuanBn.jpg,"[10.0156033, 105.7825259]",Cái Răng,Cần Thơ
Cho thuê nhà 3 phòng ngủ mặt tiền đường Lưu Quang Thuận,"Đ. Lưu Quang Thuận, P. Mỹ An, Q. Ngũ Hành Sơn, Tp. Đà Nẵng",10.99,"Nhà nằm vị trí 2 mặt tiền.  Gần chợ: Bắc Mỹ An, gần phố An Thượng, gần Biển.  Công năng: 3 phòng ngủ, 1 phòng khách, 1 bếp, 2 WC, sân phơi.  Nội thất đầy đủ, chỉ xách vali vào ở.  Giá cho thuê hợp lý.",Nhà Đất Thổ Cư,Cho Thuê,70,3.0,2.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,2.0,https://i.meeymedia.com/BsQleV0dYRe82HvUWLq6x7-kzpTVqTEgNvt5WOsUrbI/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDZjYjYzNDE2ODUwNDU3NGYwM2YyNzZiZjM5YjdlYjYwLTI4ODQzODQxOTc5NzEwODk5MjQuanBn.jpg,"[16.0406533, 108.2453694]",Ngũ Hành Sơn,Đà Nẵng
"Nhà MT hẻm Xe Hơi , ngay Uỷ Ban Phường Tân Quy . Quận 7","Đ. Số 10, P. Tân Quy, Q. 7, Tp. Hồ Chí Minh",12,"Cho thuê nhà hẻm xe hơi , ngay trung tâm quận 7. Dt 4x12m 1 trệt 1 lầu , nhà mới đẹp như hình, xe hơi đỗ cửa. Cách mt 50m …",Nhà Đất Thổ Cư,Cho Thuê,50,2.0,2.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,2.0,https://i.meeymedia.com/BCHi6NBcNSQ9wrz9PH7iRkXhN59vVHkU02a1B_Yxk08/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDJiODdmNjc0OTRmYmY3ODQ2Zjc2NjRhMDFmMmY2OWRiLTI4ODQzNjkxMzQ4MDk5OTE2NjYuanBn.jpg,"[10.7423978, 106.7100837]",7,Hồ Chí Minh
"Chothuênhàmặttiền đường phạmt bường,p4,tpvĩnhlong","Đ. Phạm Thái Bường, P. 4, Tp. Vĩnh Long, T. Vĩnh Long",15.04,"CHO THUÊ NHÀ MẶT TIỀN ĐƯỜNG PHẠM THÁI BƯỜNG, PHƯỜNG 4, TP VĨNH LONG    Nhà mặt tiền đường Phạm Thái Bường    - Nhà gồm một trệt, 2 lầu, 1 lửng,   Nhà có: Phòng khách, 7 phòng, 4 wc, phòng bếp    - Phường trung tâm, con đường đẹp nhất thành phố Vĩnh Long    - Thích hợp mở văn phòng, Sba, mở trung tâm dạy học, ...   - Giá cho thuê: 15 triệu / tháng    - Hãy gọi ngay cho Hiền Mai: *** để được đi xem nhà",Nhà Đất Thổ Cư,Cho Thuê,80,7.0,4.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,,https://i.meeymedia.com/pHEfh8Wy0-REXUUWDId1hSwQ1uK6WvaYK4ze54OXjp8/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNGE3OTBkMGJhOTM5ZjQ1NjRkODY2ZTMyN2RkYTE5N2RkLTI4ODQzNjk0Njc4MDg2ODAwODguanBn.jpg,,Vĩnh Long,Vĩnh Long
Cho thuê nhà trọ,"P. Trần Xuân Soạn, P. Tân Hưng, Q. 7, Tp. Hồ Chí Minh",4.01,"Nha trọ 4x4 1 trệt 1 lầu cần cho thuê  Điện nước nhà nước tự đóng  Giá thuê 4tr/ tháng cọc 1 tháng  Nhà rộng rãi, nhược điểm hẻm gần nhà hơi nhỏ  Ở được 3-4 người   Nhà ở hẻm 675 trần xuân soan",Nhà Đất Thổ Cư,Cho Thuê,15,1.0,,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,,https://i.meeymedia.com/PLp6zQzrdC8UqanuhlxRLIrARTdD129lAYuxn4ChaAc/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDQ5NjA5YWZmNjRkOGJiMDIxMDI3YjljNWNkNzg4YWY2LTI4ODQzODQ2NDgwODE1NTIwMzYuanBn.jpg,"[10.7512445, 106.6920173]",7,Hồ Chí Minh
Nhà góc 2mt hẻm nội bộ 2pn 2 vs,"Đ. Kênh 26/3, P. Bình Hưng Hòa, Q. Bình Tân, Tp. Hồ Chí Minh",5.5,"CHO THUÊ NHÀ  Vị trí : góc 2mt hẻm nội bộ kênh 26/3 f bhh bình tân ( gần aeon giáo ranh quận tân phú)  Dt nhà 4x8 : trệt lầu : 2 pn 2 vs , góc hẻm nên nhà cực kỳ thoáng mát sáng ..  Tiện ở gia đình cần yên tĩnh nghie ngơi , bán oline ...  Giá cho thuê :5 tr500 / tháng cọc 1 tháng   Nhà trống dọn ngay   Lh : số đt có zalo   Trân trọng",Nhà Đất Thổ Cư,Cho Thuê,32,2.0,2.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,,https://i.meeymedia.com/XQgybEJ654sm_tmxxvfjHS-crZMBzOGqOAN1mIGB7kI/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDBiOGUyOTcwMzA2ZGQzMzc3N2I4MjI2NWM1ZjM5ZTUxLTI4ODQzNzA1NzM2MzM5ODUwMjguanBn.jpg,"[10.7897995, 106.6061367]",Bình Tân,Hồ Chí Minh
"Nhà phố Camellia hoàn thiện đẹp, an ninh.Liền kề Dương Hồng, Phi Long","Đ. Bình Hưng, X. Bình Hưng, H. Bình Chánh, Tp. Hồ Chí Minh",15.02,"CHO THUÊ NHÀ PHỐ + CĂN HỘ:   1. Nhà phố Camellia full nội thất đẹp: 15 triệu/ tháng  2. Nhà phố Valora full nội thất đẹp: 23,5triệu/ tháng  3. Nhà phố có nội thất : 18,5triệu/ tháng  4. Nhà phố ntcb: 16 triệu/ tháng  4. Shophouse Mizuki : 20triệu- 25triệu/ tháng   5. Căn hộ 3PN tháp MP678: 12 triệu/ tháng  6. Căn hộ 3PN full nội thất: 14triệu-16triệu/ tháng  7. Căn hộ 2PN: 9triệu- 12,5triệu/ tháng  8. Phòng ở nhà phố: 4triệu- 4,5triệu/ tháng   Khách xem nhà liên hệ em  Ms.Đào chuyên bđs Mizuki    #chothuecanho  #mizukipark  #camelliagarden  #nhaphobietthubinhchanh  #chothuenhapho  #Nhaphovalora  #canhomizuki  #panorama  #nhaphoduonghong  #namlong  #nhaphoPhiLong  Bàn giao 2016  Khu dân cư Camellia Garden  Chủ đầu tư:  CÔNG TY CỔ PHẦN ĐẦU TƯ NAM LONG",Nhà Đất Thổ Cư,Cho Thuê,74,3.0,3.0,Đã có giấy hẹn lấy số,,,,https://i.meeymedia.com/xvz65eanx6hbhkvRiCp19EvlpYTClHleCAUU5735U7Q/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDI0ZTQxOGViOGVmNTI1YjQ2NTEwZjE5NzYzYThkMTMwLTI4ODQzNzk2NzQ5ODYzNDQ3MjguanBn.jpg,"[37.83333, 12.66667]",Bình Chánh,Hồ Chí Minh
"Ban Công + Gác + Máy lạnh. Tự do 24/24. Thang máy, máy giặt chung.","Đ. Trần Văn Dư, P. 13, Q. Tân Bình, Tp. Hồ Chí Minh",3.8,1 Phòng như hình  Phòng có sẵn máy lạnh  Lầu 4 - thang máy rất thoáng đãng mát mẻ  Khu dân cư an ninh - yên tĩnh - nhiều cây xanh  Free tiền xe  Xem phòng & ký cọc chính chủ,"Nhà Trọ, Phòng Trọ",Cho Thuê,20,,,,,,,https://i.meeymedia.com/4y4zrcKFg2mXBRtDwWYxjr2sWndwv3oYea9P9lLtlJc/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDRmODk4NGJlOTM4ZDRhMDgzMjY0MzcyN2U1ZmU1ODg4LTI4ODQzNjc0ODEyNjYxOTQ5MzAuanBn.jpg,"[10.8049484, 106.6432954]",Tân Bình,Hồ Chí Minh
Stiudio Ban Công Phú Nhuận Huỳnh Văn Bánh Full Nội Thất,"Đ. Huỳnh Văn Bánh, P. 10, Q. Phú Nhuận, Tp. Hồ Chí Minh",5.49,"Cho thuê phòng ban công ngay Huỳnh Văn Bánh Phú Nhuận  - Giá 5x-7x  - Full Nội Thất   - Giờ giấc tự do, an ninh   - Khoá vân tay, không chung chủ  - Than máy hầm xe rộng , thuận tiện di chuyển các quận Trung Tâm","Nhà Trọ, Phòng Trọ",Cho Thuê,30,,,,,,,https://i.meeymedia.com/rOpN6xxoRP_qu_bQ9yL45uM_-OLNbvJaYJHgeWLjcFE/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNGUyMDY2Zjg5NGJmNjQ5OTgyYzQ5YzgyNDZiNjQzYWM2LTI4ODQzNjc5NTQxNDM3Njc4NTUuanBn.jpg,"[10.7929503, 106.6800195]",Phú Nhuận,Hồ Chí Minh
"Nhà cho thuê 70m2, 2 phòng ngủ, quận12","Đ. Tân Thới Hiệp, P. Tân Thới Hiệp, Q. 12, Tp. Hồ Chí Minh",3.99,"Nhà cho thuê tổng diện tích 70m2, một lầu , hai phòng ngủ, hai nhà vệ sinh, đường 21 tân thới hiệp quận 12",Nhà Đất Thổ Cư,Cho Thuê,70,2.0,2.0,Đã có giấy hẹn lấy số,,,,https://i.meeymedia.com/FbWsEN5N72i_MgvDcs6tbLqXh5XcKl3hXewca-ki1CY/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNGFiMDliODIzNDZjYjdiZjQyN2IxMzljM2Q5MzdiM2I3LTI4ODQzODAzODQ4ODIyNzYyODAuanBn.jpg,"[10.8625179, 106.6449286]",12,Hồ Chí Minh
"12 TRIỆU - 4PN 4WC - 4x15 - Hẻm xe hơi Lũy Bán Bích, Quận Tân Phú.","Đ. Lũy Bán Bích, P. Tân Thới Hòa, Q. Tân Phú, Tp. Hồ Chí Minh",12,"Lưu ý: Em không trả lời tin nhắn chợ tốt. Vui lòng liên hệ trực tiếp hoặc zalo để được tư vấn và xem nhiều hình ảnh thực tế hơn. Em cảm ơn nhiều!!!    Ưu tiên làm văn phòng, ở gia đình, KDOL (Không làm CHDV)    Khu vực an ninh, sạch sẻ, giá rẻ không có căn thứ 2. Nhà lô góc thoáng mát. Chủ dễ thương muốn kí hợp đồng lâu dài với khách thiện chí.     Gần các trục đường chính: Lũy Bán Bích, Hòa Bình, UBND Quận Tân Phú, Chợ Cây Keo...    Gọi ngay SĐT gặp Huỳnh Ri để được xem nhà miễn phí.    HIỆU QUẢ - TẬN TÂM - CHUYÊN NGHIỆP   Cho thuê nhà Tân Phú, nhà cho thuê Tân Phú, Cho thuê nhà nguyên căn Quận Tân Phú, thuê nhà Tân Phú dưới 12 triệu, cần thuê nhà Quận Tân Phú, thuê nhà nguyên căn giá rẻ Tân Phú.",Nhà Đất Thổ Cư,Cho Thuê,60,4.0,4.0,"Giấy CN QSDĐ, Sổ đỏ, Sổ hồng",,,,https://i.meeymedia.com/xykVsf5tVaFG_k0aKdYF5T2pLxPMsEAWuMBq2galf7E/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNDY3NTViODUyOTQxMmFjZDFhMGM5MmNmMDllYzIzNjgyLTI4ODQzODIzNDU5NzkxMDc4NDQuanBn.jpg,"[10.7622289, 106.6323418]",Tân Phú,Hồ Chí Minh
Khai trương studio mới toanh full nt máy giặt riêng gần đh văn hiến,"Đ. Trịnh Đình Thảo, P. Hòa Thạnh, Q. Tân Phú, Tp. Hồ Chí Minh",3.39,"Phòng từ 3tr4 - 3tr9    Trịnh Đình Thảo , Tân Phú    Điện : 4k   Nước : 20k/ khối  Dv : 200k/1p  Xe free 1c , chiếc t2 150k","Nhà Trọ, Phòng Trọ",Cho Thuê,28,,,,,,,https://i.meeymedia.com/qU65OyEgTAsBDvD2SOKBLWA9ZqT9QSLQ6q20rvB8LN0/rs:fill:900:600/g:ce/czM6Ly9tZWV5bGFuZC1haS9pbWFnZXMvMjAyNC8wNi8yNGNjOTkwMjc5Y2ZhOWNhZTI2ODNiNjgzOTc2YjAyNjE3LTI4ODQzNzg0MzY3MzUwNzY1MDQuanBn.jpg,"[10.7748167, 106.6357158]",Tân Phú,Hồ Chí Minh
