title,price,area,type,address,description,law,type_estate,province,district,bedroom,toilet,floor,direction,entrance_width,width,image_links,phonenumber,geo_code
"Biệt thự bắc cầu hàn  hải dương. giá cực rẻ chỉ 18,x trm2. liên hệ 0969_177_856",5.7,296.0,Mua Bán,"Xã Thượng Đạt, Thành phố Hải Dương, Hải Dương",,Có Sổ đỏ,Đất nền dự án,Hải Dương,Hải Dương,,,,,16 (m),14.8000001907349,https://nhadat24h.net/https://nhadat24h01.blob.core.windows.net/2024/Images/359626/IMG_11720519142451.jpg,0969177856,
Nợ n hàng 3 tháng bán hết 7 000m2 7 sổ riêng đang trồng mít xoài,0.68,1010.0,Mua Bán,"Xã Phú Cường, Huyện Định Quán, Đồng Nai","<p>Nợ Ngân hàng 3 tháng không còn khả năng tôi bán hết 7.000m2 đang trồng mít, xoài đã tách 7 sổ. Đường bê tông 7m tại Định Quán, ql20 vào 1,7km. Dân đông. Đi Tp HCM chỉ 78km<br/>Gần hồ Trị An<br/>QL20, chợ Phú Cường, KCN Phú Cường, X. Phú Cường 5p xe máy<br/>DT 1.000m2(12x84),...(11x91),..<br/>Sổ hồng riêng<br/>Đang vay ngân hàng 420tr/1.000m2.<br/>Nay bán lại hết giá 580tr/1.000m2, lẽ 680tr/1.000m2.<br/>Giá bao lời 2-300tr/lô giờ đến cuối năm tức 7 lô lãi khoảng 1tỷ4 -2 tỷ<br/>Lh xem sỗ và đất : 0965.010303 A Thành ( Chính chủ)<br/></p>",Có Sổ đỏ,Nhà đất thổ cư,Đồng Nai,Định Quán,,,,,7 (m),15,https://nhadat24h.net//Upload/User/DangTin/2023/Images/89258/fc13587b-6b98-4cff-b30e-2f44ac2b90a7.jpg,0965010303,"[11.126945249999999, 107.14395031761688]"
Bán tòa nhà 7 tầng mặt phố hoàng quốc việt  205m2  7 tầng  giá 82 tỷ,82.0,205.0,Mua Bán,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Bán Tòa nhà 7 tầng Mặt phố Hoàng Quốc Việt, Cầu Giấy<br/><br/>Diện tích: 205m2, 7 tầng, MT 6,2m. Giá 82 tỷ có thương lượng (miễn trung gian).<br/><br/>- Vị trí đẹp nhất phố, thuộc con phố VIP giao thoa quận Cầu Giấy, Bắc Từ Liêm, kết nối các phố Võ Chí Công, Phạm Văn Đồng, Nghĩa Tân, Cầu Giấy....<br/><br/>- Vỉa hè rộng nhất phố, kinh doanh tấp nập ngày đêm. Thiết kế 7 tầng thang máy, thông sàn phù hợp mọi loại hình kinh doanh: Thẩm mỹ viện, Spa, Ngân hàng, Trụ sở công ty, Văn phòng....<br/><br/>- Sổ đỏ chính chủ nở hậu.<br/><br/>LH: Nguyên Minh",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Cầu Giấy,,,7,,50 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/ac725776-17e8-47fb-9365-d4527184e665.jpg,0968471059,"[21.045681, 105.7910701]"
Nhà rẻ văn chương cách ngõ ô tô 10m như bán đất 38m mt 3 5m 4 35 tỷ,4.35,38.0,Mua Bán,"Phường Văn Chương, Quận Đống Đa, Hà Nội","<p>Nhà Rẻ Văn Chương_ Cách Ngõ Ô tô 10m, An Sinh Đỉnh_ Bán Đất_ 38m. Mt 3.5m_ 4.35 tỷ.</p><p>Ngõ 2m, trước nhà , sân thoáng để xe thoải mái.</p><p>Khu trung tâm quận Đống Đa, giao thương các ngả thuận tiện.</p><p>Gần Trường, Chợ, tiện đi Làm, đi Học, An sinh cực đỉnh.</p><p>Khu viên chức, văn phòng, dân trí, an ninh hoàn toàn yên tâm.</p><p>Phù hợp hộ gia đình ở,mua cho con lên Hà Nội học Đại Học, Đầu tư xây lại quá đẹp.</p><p>S,ổ đ,ỏ pháp lý chuẩn.</p><p>Gọi ngay mr Đại Nhà Phố: 0942982968---0326019911</p>",Có Sổ đỏ,Nhà trong ngõ,Hà Nội,Đống Đa,,,,,2 (m),3.5,https://nhadat24h.net//Upload/User/DangTin/2024/Images/529782/69bf7592-f0c5-4570-96cb-ad0df44dd35e.jpg,0942982968,"[21.0230988, 105.836732]"
"Bán nhà mặt phố thanh nhàn, chùa quỳnh, hai bà trưng  50m2  giá 17.8 tỷ.",17.89,50.0,Mua Bán,"Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","BÁN NHÀ MẶT PHỐ THANH NHÀN, CHÙA QUỲNH, HAI BÀ TRƯNG.<br/><br/>- Diện tích 50m2 5 tầng, nở hậu. Giá 17,89 tỷ có thương lượng (miễn trung gian).<br/><br/>- Vị trí mặt phố, vỉa hè, kinh doanh sầm uất.<br/><br/>- Nhà 5 tầng, xây chắc chắn đang cho thuê 30t/ tháng. Kết hợp vừa ở vừa kinh doanh rất tốt.<br/><br/>LH: Nguyên Minh - Sổ đỏ chính chủ.",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Hai Bà Trưng,4.0,5.0,5,,20 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/150a6094-fcd7-4238-b93e-064618adb994.jpg,0968471059,"[21.0063673, 105.8564558]"
Bán gấp 3 000m2 đất gần kcn shr giá 180 triệu bao mọi phí sang tên,0.18,3000.0,Mua Bán,"Xã Minh Hưng, Huyện Chơn Thành, Bình Phước",<p></p><p></p><p></p><p></p><p></p>,Có Sổ đỏ,Nhà đất thổ cư,Bình Phước,Chơn Thành,,,,,42 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/493418/07c24ae7-a285-4a67-8fc3-451a18a84157.jpg,0969950161,
Mặt phố cát linh _ kinh doanh siêu đỉnh_chỉ 9.38 tỷ,9.38,26.0,Mua Bán,"Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội","<p> </p><p>Mặt Phố Cát Linh _ Kinh Doanh Siêu Đỉnh_Chỉ 9.38 tỷ </p><p> 2 Mặt Thoáng. Kinh Doanh Vô Đối tại Khu Vực</p><p> Đầu Tư giữ tiền, dòng tiền 25-30/tháng</p><p>Trung Tâm Đống Đa, giao thương các ngả thuận tiện.</p><p>Sổ đỏ cất két sẵn sàng giao dịch, chủ thiện chí có thương lượng.</p><p>Gọi ngay mr Đại Nhà Phố: 0942982968-0326019911</p>",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Đống Đa,,,3,,10 (m),3.6,https://nhadat24h.net//Upload/User/DangTin/2024/Images/529782/2890e8f9-eafc-40e5-aad7-f3175603f841.jpg,0942982968,"[21.0283804, 105.8272765]"
Bán nhà mặt phố nguyễn hy quang  trung tâm quận đống đa  50m2  giá 22 tỷ,22.0,50.0,Mua Bán,"Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Bán nhà Mặt phố Nguyễn Hy Quang - Trung Tâm Quận Đống Đa.<br/><br/>- Vị trí đẹp, mặt phố kinh doanh sầm uất, vỉa hè, ô tô dừng đỗ ngày đêm.<br/><br/>- Kết nối các phố Hoàng Cầu, Ô Chợ Dừa, Nguyễn Lương Bằng....<br/><br/>Diện tích: 50m2 4 tầng. Giá 22 tỷ có thương lượng (miễn trung gian).<br/><br/>- Nhà xây chắc chắn kết hợp vừa ở vừa kinh doanh rất tuyệt vời.<br/><br/>LH: Nguyên Minh - Sổ đỏ chính chủ",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Đống Đa,4.0,5.0,4,,20 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/b7ecf683-8dd0-4e3b-8b72-313dcdd821cb.jpg,0968471059,"[21.0213924, 105.8250224]"
"Bán nhà phân lô phố hồng mai tt hai bà trưng 61m2 4 tầng mt 8m giá 15,8 tỷ",15.8,61.0,Mua Bán,"Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội","Bán nhà Phân lô Phố Hồng Mai, Trung tâm Hai Bà Trưng<br/><br/>Diện tích 61m2 4 tầng, MT 8,1m. Giá 15,8 tỷ có thương lượng (miễn trung gian).<br/><br/>- Nhà nằm ở vị trí đẹp, vỉa hè, ô tô dừng đỗ ngày đêm, xung quanh bạt ngàn tiện ích.<br/><br/>- Nhà xây chắc chắn, thiết kế hợp lý, mặt tiền 8m. Giá lại rất hợp lý, hiếm có căn thứ 2.<br/><br/>LH: Nguyên Minh - Sổ đỏ chính chủ",Có Sổ đỏ,"Nhà biệt thự, liền kề",Hà Nội,Hai Bà Trưng,5.0,5.0,4,,15 (m),8,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/c39d336d-ae67-4009-b035-eae6bf4be5ae.jpg,0968471059,"[21.0003877, 105.8563399]"
"Bán gấp biệt thự bt2  kđt linh đàm, hoàng mai  251m2  mt 13m  giá 68.5 tỷ",68.5,251.0,Mua Bán,"Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","Bán gấp Biệt thự BT2 - KĐT Linh Đàm, Hoàng Mai.<br/><br/>- Vị trí đẹp mặt phố, vỉa hè rộng, đường đôi 30m, khu vực VIP nhất bán đảo Linh Đàm.<br/><br/>Diện tích: 251m2 5 tầng, MT 13m. Giá 68,5 tỷ có thương lượng (miễn trung gian).<br/><br/>- Thiết kế đẹp, thang máy nhập khẩu, nội thất xịn. Phù hợp mọi loại hình kinh doanh: Nhà hàng, Cafe, Văn phòng, Ngân hàng, Thẩm mỹ viện, Nha khoa, Spa...<br/><br/>LH: Nguyên Minh - Sổ đỏ chính chủ",Có Sổ đỏ,"Nhà biệt thự, liền kề",Hà Nội,Hoàng Mai,6.0,6.0,5,,30 (m),13,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/2c548908-9b3e-4c7c-8e6c-096e35883f56.jpg,0968471059,"[20.962423, 105.8393925]"
Bán nhà mặt phố nguyễn hy quang  trung tâm quận đống đa  50m2  giá 22 tỷ,22.0,50.0,Mua Bán,"Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Bán nhà Mặt phố Nguyễn Hy Quang - Trung Tâm Quận Đống Đa.<br/><br/>- Vị trí đẹp, mặt phố kinh doanh sầm uất, vỉa hè, ô tô dừng đỗ ngày đêm.<br/><br/>- Kết nối các phố Hoàng Cầu, Ô Chợ Dừa, Nguyễn Lương Bằng....<br/><br/>Diện tích: 50m2 4 tầng. Giá 22 tỷ có thương lượng (miễn trung gian).<br/><br/>- Nhà xây chắc chắn kết hợp vừa ở vừa kinh doanh rất tuyệt vời.<br/><br/>LH: Nguyên Minh - Sổ đỏ chính chủ",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Đống Đa,4.0,5.0,4,,20 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/b7ecf683-8dd0-4e3b-8b72-313dcdd821cb.jpg,0968471059,"[21.0213924, 105.8250224]"
"Bán gấp biệt thự bt2  kđt linh đàm, hoàng mai  260m2  mt 13m  giá 51 tỷ",51.0,260.0,Mua Bán,"Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","Bán gấp Biệt thự BT2 - KĐT Linh Đàm, Hoàng Mai - Giá rẻ nhất khu vực.<br/><br/>- Vị trí đẹp, vỉa hè rộng, trước nhà ô tô tránh dừng đỗ, khu vực VIP quan chức hiếm nhà bán.<br/><br/>Diện tích: 260m2 4 tầng, MT 13m. Giá 51 tỷ có thương lượng (miễn trung gian).<br/><br/>- Thiết kế đẹp, sân vườn thoáng mát, nội thất xịn. Phù hợp mọi loại hình kinh doanh: Văn phòng, Thẩm mỹ viện, Nha khoa, Spa...<br/><br/>LH: Nguyên Minh - Sổ đỏ chính chủ.",Có Sổ đỏ,"Nhà biệt thự, liền kề",Hà Nội,Hoàng Mai,6.0,7.0,4,,20 (m),13,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/ca6b33fc-0615-4162-964b-e829c63134e7.jpg,0968471059,"[20.962423, 105.8393925]"
Bán nhà mặt phố lò đúc hai bà trưng 308m2 mt đẹp giá 155 tỷ vị trí đẹp,155.0,308.0,Mua Bán,"Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội","Bán gấp nhà Mặt phố Lò Đúc, Hai Bà Trưng, kinh doanh sầm uất, giá cực tốt.
<br/>
<br/>Diện tích 308m2. MT đẹp. Giá 155 tỷ có thương lượng (miễn trung gian).
<br/>
<br/>- Vị trí đắc địa, vỉa hè rộng, kinh doanh sầm uất ngày đêm.
<br/>
<br/>- Giá cực tốt, đầu tư giữ tiền, phù hợp mọi loại hình kinh doanh.
<br/>
<br/>Liên hệ: Minh",Có Sổ đỏ,Nhà mặt phố,Hà Nội,Hai Bà Trưng,,,5,,40 (m),,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/05964d2f-3124-462d-b564-6bb0d4cbf47b.jpg,0968471059,"[21.0113666, 105.8592805]"
Bán nhà phố vương thừa vũ trung tâm quận thanh xuân 262m2 mt 12m 49 tỷ,49.0,262.0,Mua Bán,"Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Bán nhà phố Vương Thừa Vũ - Trung tâm Quận Thanh Xuân<br/><br/>- Vị trí đẹp, phân lô ô tô, khu vực quan chức hiếm nhà bán.<br/><br/>Diện tích: 262m2, 4 tầng, MT 12m. Giá 49 tỷ có thương lượng (miễn trung gian).<br/><br/>- Nhà xây chắc chắn, mặt tiền 12 siêu đẹp, phù hợp chia 2 căn, xây Tòa nhà Văn phòng vừa ở vừa kinh doanh.<br/><br/>LH: Nguyên Minh - Sổ đỏ chính chủ",Có Sổ đỏ,"Nhà biệt thự, liền kề",Hà Nội,Thanh Xuân,,,,,,12,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/c0c6c99b-b65c-408c-8b6a-f36dd3defd1c.jpg,0968471059,"[20.9973125, 105.8222383]"
Bán gấp mảnh đất đẹp phố chùa quỳnh hai bà trưng 302m2 mt 10m giá 37 tỷ,37.0,302.0,Mua Bán,"Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội","Bán gấp Mảnh đất đẹp phố Chùa Quỳnh, Hai Bà Trưng, vị trí đẹp, mặt tiền khủng 10m nở hậu.
<br/>
<br/>Diện tích 302m2, MT 10m. Giá 37 tỷ có thương lượng (miễn trung gian).
<br/>
<br/>MẢNH ĐẤT VÀNG HIẾM CÓ, VỊ TRÍ NHÀ ĐẸP, KHU VỰC NHIỀU TIỆN ÍCH, THÔNG SỐ VÀNG
<br/>
<br/>- Vị Trí Đẹp, Ngõ 3 Gác Đua, Lô Góc, Cách 1 nhà ra Ô Tô.
<br/>
<br/>- Bán kính 1km nhiều trường Đại học và Bệnh Viện lớn như Bách Khoa - Kinh tế - Xây dựng, bệnh viện Bạch Mai, Thanh Nhàn....
<br/>
<br/>- Sổ đỏ chính chủ nở hậu.
<br/>
<br/>LH: Nguyên Minh",Có Sổ đỏ,Nhà đất thổ cư,Hà Nội,Hai Bà Trưng,,,,,,,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/95e6475f-b029-4d3b-85de-d2e7b65f0b86.jpeg,0968471059,"[21.0003877, 105.8563399]"
"Bán nhà phân lô phố hồng mai tt hai bà trưng 61m2 4 tầng mt 8m giá 15,8 tỷ",15.8,61.0,Mua Bán,"Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội","Bán nhà Phân lô Phố Hồng Mai, Trung tâm Hai Bà Trưng<br/><br/>Diện tích 61m2 4 tầng, MT 8,1m. Giá 15,8 tỷ có thương lượng (miễn trung gian).<br/><br/>- Nhà nằm ở vị trí đẹp, vỉa hè, ô tô dừng đỗ ngày đêm, xung quanh bạt ngàn tiện ích.<br/><br/>- Nhà xây chắc chắn, thiết kế hợp lý, mặt tiền 8m. Giá lại rất hợp lý, hiếm có căn thứ 2.<br/><br/>LH: Nguyên Minh - Sổ đỏ chính chủ",Có Sổ đỏ,"Nhà biệt thự, liền kề",Hà Nội,Hai Bà Trưng,5.0,5.0,4,,15 (m),8,https://nhadat24h.net//Upload/User/DangTin/2024/Images/526919/c39d336d-ae67-4009-b035-eae6bf4be5ae.jpg,0968471059,"[21.0003877, 105.8563399]"
