title,price,area,address,description,type,type_estate,law,floor,bedroom,toilet,direction,image_links,phonenumber,geo_code,district,province_city,width
"Chính chủ cho hộ gia đình thuê căn hộ ngõ 139 tam trinh, hoàng mai",7.0,27,"Đường Tam Trinh, Phường Mai Động, Quận Hoàng Mai, Hà Nội","Chính chủ cho hộ gia đình thuê căn hộ ngõ 139 Tam Trinh, Phường Mai Động, quận Hoàng Mai<br/><br/>Diện tích 27 m2, 3 tầng 1 lửng, 3 vệ sinh, 3 phòng ngủ, ngõ thoáng<br/><br/>giá 7 triệu/ tháng.<br/><br/>Liên hệ:  ",Cho Thuê,Nhà Trong Ngõ,,3.0,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/10/062/f59fc0be93564aa4b002531887f29956.jpg,987681395,"[20.9916184, 105.86303]",Hoàng Mai,Hà Nội,
"Cho thuê văn phòng, ngõ 120 đường trường chinh, phương mai, đống đa",15.0,100,"Đường Trường Chinh, Quận Đống Đa, Hà Nội","CHO THUÊ VĂN PHÒNG<br/><br/>CÔNG TY CỔ PHẦN MAY NÔNG NGHIỆP<br/>Địa chỉ số 1 ngõ 120 Đường Trường Chinh - Phương Mai - Đống Đa - Hà Nội:<br/><br/>Có văn phòng cho thuê gồm các phòng có diện tích sử dụng phòng 100 m2, 133 m2, 250 m2 thuộc nhà văn phòng 6 tầng, có chỗ để xe, sân rộng<br/><br/>Giá từ 15 - 30 triệu/tháng tùy theo diện tích thuê (160N/m2)<br/><br/>Liên hệ:  , 04.8523373, Mobil:  ,  <br/> <br/>* Thông báo tuyển công nhân: <br/>Công ty CP May Nông nghiệp tuyển công nhân may làm việc theo giờ hành chính hoặc bán thời gian. Tel.  ",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/05/27/236/e3d7d1bbf2a9486eac4ab90506564a51.jpg,915212169,"[21.0031848, 105.8202308]",Đống Đa,Hà Nội,
"Cho thuê văn phòng tại tòa nhà wmc tower, 102abc cống quỳnh, quận 1",0.4865,53,"102ABC, Đường Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","Tòa nhà WMC Tower 102ABC Cống Quỳnh cho thuê văn phòng, căn hộ dịch vụ<br/>Vị trí Tòa nhà đắc địa, tọa lạc ngay trung tâm Quận 1; gần các khu chợ nổi tiếng của thành phố như chợ Bến Thành, chợ Thái Bình; sát phố Bùi Viện và trên trục đường hướng về Quận 1, Quận 3 và Quận 5.<br/>Diện tích văn phòng: 53m2 – 97m2 - 183m2, phù hợp cho công ty mô hình nhỏ, lớn. <br/>Giá thuê 486.500VNĐ / m2 / tháng đã bao gồm phí quản lý và VAT<br/>Căn hộ : 01 phòng ngủ - 37m2: 17.500.000VNĐ / tháng đã gồm VAT<br/> - 50m2: 21.500.000VNĐ / tháng đã gồm VAT<br/>- Thiết kế hiện đại, trang thiết bị, nội thất đầy đủ, phòng khách, bếp, 1 phòng ngủ, 1 toilet<br/>- Dịch vụ dọn phòng 2 lần một tuần; phòng giặt riêng bên ngoài căn hộ; miễn phí 6m3 nước; miễn phí một chỗ đậu xe máy<br/>- Kết cấu tòa nhà gồm: 1 trệt, 1 lửng, 12 tầng, bãi để xe<br/>- Tổng diện tích sử dụng hơn 4.000m2<br/>- Hệ thống: máy lạnh trung tâm âm trần, phòng cháy chữa cháy, thang máy<br/>- An ninh, bảo vệ 24/24; Dịch vụ vệ sinh, bảo trì, bảo dưỡng định kỳ<br/> Phí gửi xe máy: 180.000VNĐ / xe / tháng (đã bao gồm VAT)<br/> Phí gửi xe ô tô: 3.000.000VNĐ / xe / tháng (đã bao gồm VAT)<br/><br/>Liên hệ số điện thoại  hoặc  để được giá thuê tốt nhất.",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/04/410/0ad76fccc3ac475099864071c2111ba1.jpg,909429483,"[10.78069, 106.69944]",1,Hồ Chí Minh,
"Cho thuê nhà nguyên căn 4 tầng mặt tiền 108 điện biên phủ, đà nẵng",120.0,600,"108, Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng","❤️- VỊ TRÍ ĐẸP PHÙ HỢP MỞ SHOP THỜI TRANG, SHOWROOM, SIÊU THỊ, NHA KHOA, VĂN PHÒNG CÔNG TY …<br/>❤️- DIỆN TÍCH ĐẤT: 150M2, NGANG:12,750M <br/>❤️- NHÀ 4 TẦNG, DTSD 600M2, CÓ THÁNG MÁY THÔNG TẦNG, MẶT SÀN 4 TẦNG THÔNG THOÁNG ,NHÀ MỚI <br/>❤️- SẢN PHẨM HIẾM HOI TRÊN THỊ TRƯỜNG, TUYẾN ĐƯỜNG KINH DOANH SẦM UẤT, <br/>❤️- GIÁ THUÊ: 120 TRIỆU / THÁNG<br/>❤️- HỢP ĐỒNG LÂU DÀI<br/>❤️- THANH TOÁN: 6 THÁNG, CỌC 2 THÁNG<br/>❤️- CHO CẢI TẠO THEO YÊU CẦU",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/03/067/fd143a5a55cd42f2a5edf698a6e97807.jpg,389316229,"[16.0658435, 108.1950278]",Thanh Khê,Đà Nẵng,
Căn hộ dịch vụ giá tốt nhất q12  view đẹp  ngay cvpm quang trung,6.5,45,"Đường Trần Thị Năm, Phường Tân Chánh Hiệp, Quận 12, TP.HCM","✨ Căn Hộ Dịch Vụ Giá Tốt nhất Q12 - View Đẹp – Gần ngay Công Viên Phần Mềm Quang Trung<br/>🔥CĂN HỘ DỊCH VỤ Ngay cạnh Bệnh Viện Quận 12 - Cầu Vượt Quang Trung – Cao Đẳng FPT - Cao Đẳng Viễn Đông- Công Viên Phần Mềm Quang Trung<br/>🏠 Vị Trí Đắc Địa: NGAY MẶT TIỀN ĐƯỜNG TRẦN THỊ NĂM, Diện tích: từ 25m2 - 45m2<br/>- Giá 6,5 triệu - 12 triệu/tháng (Nhân dịp khai trương giảm 30%)<br/>_____________________________<br/>🏘 Trong vòng bán kính 500m đầy đủ tiện ích: Gần trường mầm non, trường ngoại ngữ Âu Mỹ, phòng Gym, sân cầu lông, sân bóng đá, bách hóa xanh, thế giới di động<br/>🏘 Dễ dàng di chuyển đi các quận trung tâm, vào Gò Vấp,…<br/>_____________________________<br/>🔥  Có thang máy, camera an ninh, bảo vệ 24/24, hầm xe rộng rãi<br/>🔥  Thiết Kế Kính lớn sang trọng, hiện đại; cửa sổ View toàn cảnh<br/>🔥  Có tivi, rèm, tủ lạnh, máy lạnh, giường, tủ quần áo<br/>🔥  Hệ thống bếp hiện đại, đầy đủ đồ dùng bếp<br/>🔥  Sân thượng có máy giặt và khu phơi đồ<br/>🔥 Có Thang Máy Thuận tiện di chuyển..<br/>🔥 Thiết kế đặc biệt với 3 bộ bàn ghế sang trọng dành cho: sofa phòng khách, bộ bàn ăn có bếp từ, sofa phòng ngủ<br/>🔥 Có dịch vụ dọn phòng<br/>LIÊN HỆ:  ĐỂ ĐƯỢC TƯ VẤN VÀ XEM PHÒNG TRỰC TIẾP <br/>",Cho Thuê,"Khách sạn, Căn hộ dịch vụ",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/05/034/84eab1349d7f42009a536476f71c8634.jpg,326588720,"[10.8675368, 106.6263371]",12,Hồ Chí Minh,
"Cho thuê nhà góc 2 mặt tiền số 2316 huỳnh tấn phát, ấp 3, xã phú xuân",70.0,300,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, TP.HCM","Cho thuê nhà góc 2 mặt tiền số 2316 Huỳnh Tấn Phát, ấp 3, xã Phú Xuân, huyện Nhà Bè. <br/><br/>- diện tích 10 x 30<br/>- giá cho thuê 70tr/1 tháng. <br/><br/>Liên hệ  Phú ",Cho Thuê,Nhà Mặt Phố,,,,,,https://cloud.muaban.net/images/thumb-detail/2024/05/15/029/7dcf227d59d2457b8f5c9fd280c89285.jpg,908585088,"[10.6756697, 106.7628069]",Nhà Bè,Hồ Chí Minh,10.0
"Cho thuê mặt bằng showroom . mới , đẹp , kinh doanh thời trang làm đẹp",18.0,80,"231, Đường Nguyễn chí thanh, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng","Mặt bằng ngay trung tâm thành phố, cách chợ Hàn 700m. Mặt bằng decor đẹp, phù hợp làm nail, bán túi xách , quần áo thời trang giày dép. Hoặc làm văn phòng giao dịch . <br/>Không cho thuê kinh doanh nhà hàng nấu nướng.<br/>Có hầm để xe.",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/13/282/65e3f59bca23471f84f93293a889f8d7.jpg,905026868,"[16.0704792, 108.2212181]",Hải Châu,Đà Nẵng,
"Cho thuê tầng 3 tòa nhà 558 nguyễn văn cừ, dt 260m2, giá thỏa thuận",0.25,260,"558, Đường Nguyễn Văn Cừ, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","CHÍNH CHỦ CẦN CHO THUÊ VĂN PHÒNG tầng 3 TÒA NHÀ 558 Nguyễn Văn Cừ, phường Gia Thuỵ, quận Long Biên, thành phố Hà Nội. <br/>- Diện tích mặt bằng 260m2. <br/>- Có 500m2 không gian sảnh dùng chung miễn phí<br/>- Có cầu thang bộ, cầu thang máy, chỗ để xe máy<br/>- An ninh bảo vệ 24/24... <br/>- Đường rộng có vỉa hè, khu phố kinh doanh sầm uất, thuận tiện làm văn phòng, trụ sở giao dịch...<br/>- Giá: thỏa thuận<br/>ƯU TIÊN HỢP ĐỒNG DÀI HẠN<br/>Liên hệ: Anh Quân  ",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/02/22/403/af1db738c5e94a64af2959cd7c67f18e.jpg,913589008,"[21.0469979, 105.8784092]",Long Biên,Hà Nội,
"Cho thuê nguyên căn mặt tiền phan văn hớn, gần đg trường chinh, q.12",45.0,154,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, TP.HCM","Cho thuê nhà số 31A Phan Văn Hớn, P.Tân Thới Nhất, Quận 12<br/>+ DT: 7x22m, 2 lầu đúc, mặt tiền dựng kính<br/>+ Giá cho thuê: 45 trieu<br/>+ Ký hợp đồng cho thuê dài hạn<br/>+ Ký với các đối tác uy tín: các cửa hàng tiện lợi 24h, siêu thị mini, Hệ thống bán lẻ thuốc Tây, Bank, các thương hiệu cafe trà sữa (Highland, Katinat...)<br/>+ Tọa lạc khu Quận 12, khu nhộn nhịp, kinh doanh sầm uất...<br/>* KHÔNG CHO THUÊ NHÀ HÀNG, QUÁN ĂN.",Cho Thuê,Nhà Mặt Phố,,,,,,https://cloud.muaban.net/images/thumb-detail/2024/06/26/316/55ab1c733b3b45cbbb54d206478031e7.jpg,938233136,"[10.8282636, 106.6202489]",12,Hồ Chí Minh,7.0
"Cho thuê nhà riêng rộng đẹp, đường trần cung, nghĩa tân",8.0,50,"Đường Trần Cung, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội","Cho thuê 01 căn nhà riêng rộng đẹp tại đường Trần Cung, Nghĩa Tân, Cầu Giấy, DT 50 m2 và 01 sép lửng 20m, sân rộng gần 20m, xe ô tô tải đỗ cửa, đường rộng 03 làn xe ô tô tránh nhau, điện nước giá hộ gia đình, cho thuê làm văn phòng, kho hàng, lớp học, chuyển phát...khu dân trí cao, an ninh tốt, giá 7,5- 8triệu. Liên hệ chủ nhà:  ",Cho Thuê,Nhà Trong Ngõ,,,,,,https://cloud.muaban.net/images/thumb-detail/2024/06/26/002/0fbb3fc669194afd88c9d96f3c7d697a.jpg,987713003,"[21.0519612, 105.7892408]",Cầu Giấy,Hà Nội,
"Cho thuê ch 58m2, 2 phòng ngủ, đủ tiện nghi xây mới, bùi xương trạch",8.0,58,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Còn duy nhất 1 căn hộ cho thuê trong chung cư mini xây mới 100%<br/>Căn 2 phòng ngủ, diện tích 58m2 tại địa chỉ 216A ngõ 271 Bùi Xương Trạch, hoặc đi ngõ 192 Lê Trọng Tấn, Thanh Xuân, Hà Nội.<br/>Nhà đầy đủ tiện nghi: điều hoà, bếp từ, tủ bếp, giường đệm, tủ quần áo, tivi, máy giặt, cửa khoá vân tay, ban công thoáng mát, cầu thang máy.<br/>Miễn phí wifi, truyền hình, view đẹp, thoáng mát, ô tô đỗ cửa, giao thông thuận tiện, đảm bảo PCCC.<br/>Phù hợp gia đình ở lâu dài.<br/>Giá cho thuê: 8 triệu/tháng.<br/>LH: anh Vinh,  <br/>",Cho Thuê,Căn Hộ Chung Cư,,,2,,,https://cloud.muaban.net/images/thumb-detail/2024/07/03/065/6a8fbd3901ea4619a584aa6d4c19df26.jpg,912928899,"[20.99548, 105.8128]",Thanh Xuân,Hà Nội,
"Cho thuê toàn bộ nhà máy diện tích 11.000m2 tại phúc yên, vĩnh phúc",0.123456,11.000,"Đường Triệu Việt Vương, Phường Phúc Thắng, Thị Xã Phúc Yên, Vĩnh Phúc","Cần cho thuê toàn bộ nhà máy độc lập, diện tích 11.000m2 tại Phúc Yên, Vĩnh Phúc (sát cạnh nhà máy ôtô Toyota và Honda)<br/>Cụ thể:<br/>- Bao gồm 2 Block chính, mỗi Block 3.600m2 x 2 = 7.200m2, chưa bao gồm các công trình phụ trợ khác như: Văn phòng, nhà bảo vệ, nhà vệ sinh, mái đua ra ngoài xưởng....<br/>- Nhà máy đạt tiêu chuẩn PCCC tự động có nghiệm thu, giấy phép bảo vệ môi trường, GPXD<br/>- Có trạm điện công suất 1000KVA<br/>- Xuất được đầy đủ VAT cho khách hàng<br/>- Khuôn viên có sân bãi rộng, xe container ra vào thuận tiện, có thể đậu chờ bốc xếp cả ngày<br/>- Giá thuê: thoả thuận<br/>Liên hệ chính chủ:  ",Cho Thuê,"Nhà Xưởng, Mặt Bằng, Kho Bãi",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/04/351/378a6a15bd8a4e949602eebff65d829d.jpg,912113368,,Thị Xã Phúc Yên,Vĩnh Phúc,
"Chính chủ cho thuê 500 m2 nhà mới xây khu 6.9ha, thôn hậu ái, vân",33.0,500,"Đường DT422B, Xã Vân Canh, Huyện Hoài Đức, Hà Nội","CHÍNH CHỦ CHO THUÊ 500 M2 NHÀ MỚI XÂY KHU 6.9ha, THÔN HẬU ÁI, VÂN CANH, HOÀI ĐỨC, HÀ NỘI (Cuối đường Trịnh Văn Bô, gần đường 3.5)<br/>- ĐƯỜNG CONTAINER TRƯỚC CỬA VÀ LÂN CẬN.<br/>- CÓ VỈA HÈ TRƯỚC CỬA VÀ LÂN CẬN ĐỂ ĐỖ NHIỀU XE OTO. GẦN CÁC TRƯỜNG PHỔ THÔNG QUỐC TẾ.<br/>- CẦU THANG MÁY, THANG TỜI HÀNG.<br/>- TỔNG DIỆN TÍCH 500m2, 100m2 MỖI SÀN x 5 TẦNG. MẶT TIỀN 9 m<br/>- CHO THUÊ CÁC TẦNG 1, 2, 3, 5, 6<br/>CÓ THỂ LÀM VĂN PHÒNG KẾT HỢP ĐỂ HÀNG HÓA, TRUNG TÂM GIẢNG DẠY…<br/>- SỬ DỤNG TRONG GIỜ HÀNH CHÍNH ĐẾN 21h<br/>- KHÔNG KINH DOANH HÀNG ĂN, GIẢI TRÍ GÂY ỒN<br/>- NẾU ĐỂ HÀNG HÓA THÌ HÀNG KHÔNG CÓ MÙI HOẶC GÂY Ô NHIỄM KHÔNG KHÍ.<br/>LIÊN HỆ: Mrs. LAN -  <br/>GIÁ: 33,000,000/THÁNG. THANH TOÁN TRƯỚC 3 THÁNG, CỌC 1 THÁNG.<br/>Nhờ cả nhà giúp, sẽ gửi hoa hồng. Xin c¶m ơn!<br/><br/> <br/>RENTING A NEWLY BUILT HOUSE, 100m2 x 5 floors = 500 m2, I'm the owner of the house<br/> Address 6.9ha, VÂN CANH province, HOÀI ĐỨC district, HA NOI city (at the end of Trịnh Văn Bô street, near road 3.5)<br/>- Big road, container truck can go through.<br/>- Has a lot of free car parking spots.<br/>- Has elevator<br/>- Area 9m x 12m = more than 100m, has 5 floors.<br/>- Renting floor 1, 2, 3, 5, 6<br/>Can be used for office, storage, teaching, meeting,...<br/>- Used in office hours until 9 pm.<br/>- Don't use for restaurent or lousy entertainments.<br/>Contact: Mr. Duc:  , email: anphutrading3@gmail.com<br/>Price: 33,000,000/month. Deposit 1 month, prepaid 3 months.<br/><br/>",Cho Thuê,"Văn phòng, TTTM, Cửa hàng, Kiot",,,,,,https://cloud.muaban.net/images/thumb-detail/2024/07/11/452/bd87188d5c7d4c7db66b37a1b58cde31.jpg,985219368,"[21.02014, 105.7017]",Hoài Đức,Hà Nội,
